id,text,category
24,"I *really* don't think TSLA wants to end sales of its 100% incremental margin $7k FSD packages.   Right now, the cars themselves are pretty much loss-leaders for those packages.",bearish
25,$TSLAQ Thank you. Without you I could not buy my $TSLA shares for as low as I did. #timeToUpgrademyModelX,bullish
26,"People, resist. Don’t go to your Robinhood or eTrade app and sell stuff right now. HOLD. Hold your $tsla. Hold your $spce. Hold your $nio. Or buy. Those of us who are a little older have been through this many times. Don’t panic.",bullish
27,Chinese EV support is going to be very advantageous to  Will be based on vehicle RANGE. Teslas have the longest range -globally.  The cap &amp; trade system means benefits to be received directly by $TSLA rather than a tax advantage to customers. $tslaq,bullish
28,Exponential lawsuits on $TSLA Autopilot and FSD. $TSLAQ.,bearish
29,"Hadn’t checked on pseudo journalist tweety in a while. Nothing’s changed. Still making mountains out of molehills. Guess what, Tesla’s email isn’t unique to Tesla. I’ve seen similar emails from my employer. Difference? #NotTesla ergo...no one cares.   $TSLA 🥴🤡 $TSLAQ 🤡🥴",bearish
30,"What a PoS bully.  You ain't gonna bully  , not even close. Whatever funds he needs, he will have.  Likely more.  #FUmusk $tsla",bearish
31,Think $TSLA breaks higher from this consolidation zone that it started building 4 to 5 days ago,bullish
32,"$TSLA is being dragged down with the rest of the industry. All big industrial manufacturing companies are taking a hit. But companies like $VW, $GM and $F are basically being priced for bankruptcy. Unless we get out coronaville soon, they will all need bailouts.",bearish
33,#ToiletBoy FTW  $TSLA 🤡🚽 $TSLAQ 🚽🤡,bearish
34,"$TSLA - The fact that you have to pay $3,000 extra for the smallest third row seating ever is the biggest joke/scam.",bearish
35,"Tesla share price was below the last capital raise price.   Why is the share price too high now, but it was perfectly fine higher than this last month when you sold the public more shares?   $TSLA $TSLAQ",bearish
36,"I want to be clear. Tesla is not ""Animal Farm"". 🐷🐷  (Hats off to  for braving the Squealers.) $TSLA $TSLAQ",bearish
37,"Shares of $TSLA failed to hold the YTD VWAP and now eyes are on the rising 50 DMA.  If we overshoot the 50, then the next level of interest is found at the gap anchored from the 10/24 earnings report",bearish
38,Wait... than 1 million vehicle in total for 2021 doesn’t seem impossible.... Tesla will never cease to amaze us. #Tesla $TSLA,bullish
39,YTD $F is up 30% while $TSLA is down 35%.,bearish
40,"BMW adds 185,000 units to recall over engine fire risk. Total now ~1.78 million vehicles.  Prior to this recalled vehicles were at 1.6 million  $TSLA $tslaq 4/19",bearish
41,"So, dilution is now a good thing? The stock rose in value because each share will be worth a smaller piece of the pie? Amazing. The $TSLA raise does make good sense from a capital structure perspective, though.",bullish
42,"According to the released court documents, $tsla is a client of the Milltown Partners ""reputation management"" company, which is also said to manage the (horrible) reputation of the Saudi government.",bearish
43,Bull Trap. $TSLA,bearish
44,"$TSLA shorts won’t close positions just because stock has tripled - it may cause them to short more.  $TSLAQ will close only if they realize investment thesis is wrong: Vols miss 500K guide as competitors launch own EVs, Y cannibalizes 3.  put to rest idea need capital.",bearish
45,surpasses VW as second most valuable vehicle manufacturer with $100 Billion valuation! Congrats  and the team! $TSLA,bullish
46,Just had my biggest and best trade of all time today.  $TSLA 1500 calls Entered at ~$0.5 average Exited at $16.60 ( force liquidation). They ran up to $50.  That's an 100x in a single trading day.,bullish
47,"""Wondering why $TSLA dipped 6.5% today when neither tech stocks nor auto stocks lost so much and there was no Tesla-specific news of consequence? The answer is that #shorts were selling like crazy today and percentage of TSLA selling by shorts jumped above 46%."" #informative",bearish
48,"I'm not going away anytime soon  You can block me. You can claim I caused #Tesla problems simply by telling the truth about the company and its CEO. However I'll still be here to make money Shorting it, and to expose $TSLA for what it really is at its core.",bearish
49,I like how all the taxis in Amsterdam are Teslas  $TSLA,bullish
50,I’m sorry   Elon Musk and those Cyber Trucks are the winner tonight   That guy is a genius  He sees the future   😂😂  #ElonMusk #tesla  $tsla,bullish
51,"$TSLA 8-K dropped. Price cuts, layoffs and profit warning included. Musk’s ludicrous-mode production figures not included. Telling.",bearish
52,"Tesla $TSLA.  Shorts, prepare to lose your ass, again.",bullish
53,Tesla $TSLA Bear Flag I’m buying puts Monday,bearish
54,"Despite a declining market and start of overseas shipments in 2019,  still grew U.S. unit sales 4% YOY (strength in Model 3 more than offset declines in S &amp; X).  $TSLA had 1.15% of 2019 U.S. market share: for each Tesla sold, Americans bought 87 vehicles from other makers.",bullish
55,"$TSLA bouncing nicely off trendline support on the daily. Can see follow through if above 669. Watching highs as resistance.    Resistance📈: 662, 669, 675, 683, 695, 725  Support📉: 654, 651, 640, 633, 625, 614, 610  $SPX $QQQ",bullish
56,"""Shutting down the stores was suicide"" $TSLA",bearish
57,Roses are red Baseball is a sport I can't afford flowers Because of my $TSLA short,bearish
58,This is so fucked up. Zero testing. $TSLA $TSLAQ,bearish
59,One wonders if there is any part of the $TSLA story that is legit.,bearish
60,"""Tesla will have over 1 million robotaxis on the road next year"" -Elon Musk, 22 Apr 2019  Days elapsed: 350 (56.5%) Days left: 269 (43.5%)  Robotaxis on the road: 0 (0% of target)  Robotaxis missing: &gt;1,000,000  🤖🚖  #Tesla $tsla $tslaq",bearish
61,Electric car sales (model 3) are exponential. Diesel and gas sales are on the decline. So Tesla caused the heatwave.   And who doesn’t like a little warmer weather? That’s why people vacation.   He literally wrote this...  Oh and he is short $tsla and long $f  Ouch.,bullish
62,It’s called. Whoops I shouldn’t have sold TSLA.,bearish
63,"From 8 Tesla Supercharger Stations In 2013 To 1,804 Supercharger Stations Today   #TeamElon $TSLA #Tesla",bullish
64,Nice thing about Twitter these days #Brexit and $TSLA bears.,bearish
65,Morning!   $TSLA up 1.12% to $425 as of 10:30 AM EDT. 📈,bullish
66,"Humans are trusting, gullible creatures who believe what they are told.  HUNDREDS of MILLIONS of humans started to think that Elon Musk was a ""visionary genius"" after he got hairplug surgery and started appearing on magazine covers.  $TSLA $TSLAQ",bearish
67,$TSLA's Cost-Saving Plan to Close Stores Hits a Legal Speed Bump: Its Retail Landlords   via,bearish
68,"I repeat. #medicalmusk is the worst Elon Musk yet.   13k+ RTs and 55k+ likes for links to a   “FAKE Stanford University 'researcher' who is actually a cryptocurrency-hustling Long Island lawyer whose bogus science paper was removed by Google.”  Well done, Eion.  $TSLA $TSLAQ",bearish
69,Tesla probably sold the $2 bil in shares in 39 sec. this is good news. It pushes prices a little lower. That’s what you want if you want to invest long term. And Tesla has the capital to continue to change the world. Sorry oil and auto folks. You’re doomed. $tsla,bearish
70,$TSLA dump,bearish
71,Tesla Supercharger catches fire at a Wawa store in New Jersey  $TSLA $TSLAQ,bearish
72,"What happened to ""All Teslas today have the hardware for full self driving"" as claimed in 2016?  $TSLA $TSLAQ",bearish
73,I added more $TSLA at $256.10. Good opportunity arises because Wall Street is afraid of change. I understand  FSD vision to create a disruptive ride sharing platform. Tesla has created FSD technology that other car companies did not even envision the possibility.,bullish
74,right now....the walls have closed in. $TSLA,bearish
75,"Why I'm not ""taking profits"" in $TSLA:  Market cap: $94.6B Revenue growth rate: 50% Gross margin: 18.9% Annual unit sales (cars sold): 367k Addressable market: 90M cars per year  Tesla has 0.4% of the global auto market.  The iPhone of the auto world, only much harder to copy.",bullish
76,"Wow, how'd we miss this last week. That's a bummer.  #TeslaSuperChargerIssues $TSLA",bearish
77,"So Musk now has 3 companies that are worth $1 billion or more (unicorns).  Is that common $tslaq?  Elon Musk's Boring Company raises $120 million, achieving unicorn status in the process.  $TSLA",bullish
78,Tesla Giga Texas Construction Speed Gives Giga Berlin a Run for its Money 💰💰 $TSLA,bullish
79,"I don’t believe in stock price manipulation on such large liquid stocks especially, maybe when TSLA was much smaller, but not now.  Market does what it does and cannot always be explained by our human mind which is always looking for explanation or a story to make sense of chaos",bearish
80,"Lazily made $350 on  $TSLA stock today, been so dang busy to do much trading lately",bullish
81,Again: This latest $TSLA run feels like a recession siren song to me,bearish
82,Fast Growing Stock &amp; Disrupter $TSLA   PANIC SALE -50% OFF   Grab 'em on the cheap!   - only valid while supply lasts -,bullish
83,Major earnings miss and small revenue miss on a “record” quarter of deliveries.  This company is structurally unprofitable. $TSLA $TSLAQ,bearish
84,"As long as you’re willing to hold for at least a few years, I don’t think it’s a bad time at all to buy $TSLA.",bullish
85,🤔So who's in the mood to rush out and buy a new $60k untested $TSLA car model that's damn near uninsurable from a suspect company with little-to-no service or human interface?,bearish
86,Mark your calendars. #tesla420 party date will be 4/5/20 in Malibu. If Tesla hits $1000 a share. I will be dressed in my space gear for my #SpaceX rocket launch.  I’ll be posting a sign up page soon. $tsla,bullish
87,$TSLA. David Einhorn does a fab job detailing the many fraudulent aspects on $tsla’s recent qtr.  this is the US equivalent wire card debacle of the decade. Greenlight Capital Q2 2020 Letter,bearish
88,"$TSLA Elon Musk’s ‘shell game’ distracts from Tesla’s issues, says Yale professor   via",bearish
89,$TSLA wiped out all my gains from yesterday but I’m patient 😉,bearish
90,Thoughts and prayers for the $TSLA bulls who experienced red for a few hours,bearish
91,SEC needs to investigate trades of BofA in $TSLA. The high volume selling on the pop yesterday was obviously them and their clients that had information prior to public. I knew something was going on and people thought I was nuts. There is always information that money can buy.,bearish
92,Imagine being on the front line trying to enforce these ever changing policies. Imagine being a customer trying to figure out what the hell the official policy is. What a mess. $TSLA,bearish
93,Whooooaa sh*tttt 💩 there goes TSLA again!!!!  🚀🚀🚀,bullish
94,$TSLA outperforming tech and NAS for the week up over 4% compared to 1-3%. Just get most of the gains in fewer days and spend the rest of the time drifting in chop.,bullish
95,"$TSLA current price multiples - Holy Smokes! I have seen everything now! 1,030 P/E! This proves that all investors aren't rational - FOMO",bullish
96,"There are so many details $tsla has worked on that we don’t even notice sometimes. They keep fine-tuning things. Another “small but big” example is , you never need to ask kids in back seats whether they have buckled up. You just know it. No other cars have that.",bullish
97,"Free Tesla Toons, jail Elon Musk! $tsla $tslaq",bearish
98,I short $tsla cuz I don't. And the balance sheet. And the accounting.,bearish
99,Tesla’s potential as electric car supplier prompts $1.2k TSLA price target,bullish
100,"Fun Fact: Ark sold 128,164 $TSLA shares yesterday",bearish
101,"With every move Elon Musk loses more credibility, gains many more critics &amp; distills the increasingly smaller cult into total True Believers who believe anything he says &amp; support everything he does.  You may expect $TSLA to end like Waco, but I'm thinking Japanese hodlouts.",bearish
102,I just found out that you can’t short on robinhood. So all those guys are actually long $TSLA $NFLX $MSFT $FSLY... wow! This could really end badly.,bearish
103,I thought Elon guaranteed investors in $tsla would make money no matter what?,bearish
104,I sorry bulls but this run I $tsla is completely and totally not supported by anything. Therefore will come to an unglamorous collapse. You must be on drugs to buy $tsla with q3 losses pending $tslaq,bearish
105,2020 Roadster specs are completely phony.  $TSLA $TSLAQ,bearish
106,Tesla slumping in the premarket after a price target cut from Goldman Sachs to $158 per share from $200 $TSLA,bearish
107,I don’t think Tesla Charts reading comprehension is that great.   He got fraud and murderer from my article.   $tsla,bearish
108,I wonder if $TSLA bulls realize that the company hitting their delivery numbers this quarter could actually be the worst thing that could happen to the stock,bearish
109,"I’m projecting g 2030 $TSLA deliveries of 8.8M, which would represent an 11% overall market share.    That would make $TSLA #1.",bullish
110,"It was ""crystal clear"" that Musk violated the original settlement agreement. The SEC was spineless. $TSLA",bearish
111,$TSLA - this is bad for the short and long term. Unhappy workers will lead to poor quality of products.   Like paint defects and software glitches. $TSLAQ,bearish
112,"Bought another 1,000 $TSLA at $629.60. Tight stop just in case.",bullish
113,BULLISH IF TRUE  $tsla $tslaq,bullish
114,"Napoleon, give me a ride to THE MOON!!!!  $SING  $btc $ltc $tsla $aapl $s #humpdayvibes",bullish
115,It’s About More Than The Tesla [TSLA] Short Burn,bearish
116,"Anyone considering buying a #tesla must read this internal . notice. As an owner for 3 years, I can confirm that $tsla service has turned absolutely horrible - the worst of any auto company I have dealt with in 30 years. $tslaq #ForeWarned",bearish
117,"""The Tesla's owner was not driving the car at the time of the crash but showed up at the scene after getting a notification from Tesla that the car was involved in a crash. He told NBC Bay Area he had rented the vehicle out to someone else.""  Robotaxis... $TSLA $TSLAQ",bearish
118,TSLA up +180 today. Maybe look closer at my stock tips from years ago instead of looking for Ice Cold Takes about sports.,bullish
119,The EV bubble is about to burst.  Don’t say you weren’t warned....  $tsla $tslaq $nio $nioq,bearish
120,I’m sure it was  that caught the fraud (against $tsla) that led to the DOJ Parulaker indictment 🤡,bearish
121,$TSLA Buy the rumor sell the news.  Last chance.   See you Monday for the fireworks.,bullish
122,"What is the Bull narrative if $TSLA doesn’t show even a paper profit on these record deliveries? Gali &amp; the rest of the mouth-breathers will screech about China, but what about actual pro analysts? Even callow Kallo knows better than to keep pumping at that stage, right? $TSLAQ",bearish
123,$TSLA reminder. It has so much room left to run.,bullish
124,"Top % Gainers: $MOHO 150%, $FTEK 114%, $YJ 97%, $GV $OPTT $ENG $ACB $X $IDEX $NKLA $DLTR $PLTR $CCL $UAL $AAL $TSLA",bullish
125,"Back in the $TSLA short very small. Don’t want to be on the sidelines in case any of the following events occur: Elon gets arrested, overdoses, #MeToo etc. Smart Summon gets recalled  Developments in shareholder suits $TSLAQ",bearish
126,"Don't be fooled by fraudulent headlines, this is a great Delivery Report! Well done  and all the team at   Note: Production 86.555, deliveries 90.700 - seems to me that Tesla are still selling every single car they make. $TSLA",bullish
127,$TSLA keeps partying into 2020,bullish
128,Pumpus Flaccidus $tsla 🙄,bearish
129,ARE Y'ALL READY FOR Q4?!?! 🥳📈🚀🔥🤑 $TSLA,bullish
130,Is it Monday yet? Pina coladas with rum chasers til so. $btc $oxt $tsla $ampe,bullish
131,"Tesla attorneys flee Model S Battery Designer Cristina Balan’s lawsuit against Tesla.  3 Tesla Attorneys quit, replaced by 1  $tslaq $tsla #Tesla",bearish
132,My 10-Year Bullish Stocks in no Order  $SBUX $AAPL $MSFT $TSLA $COST $NKE $Z $VZ $RCL $NET $AMZN $GOOGL $SHAK,bullish
133,"Today’s just one of those days. Only in trading can you make money, yet you feel like a loser. My executions were bad. I puked up where I should have added, and I added where I should’ve trimmed. I need to slow down, and focus on TRADING WELL + Trust the process $zm $amzn $tsla",bearish
134,What I did: Bought $TSLA -&gt; Read more about Elon -&gt; Bought more $TSLA-&gt; sold $AAPL -&gt; Bought more $TSLA-&gt; pondered over buying a Model 3-&gt; bought more $TSLA instead -&gt; $TSLA went down -&gt; bought more $TSLA,bullish
135,The greatest trick the devil ever pulled was convincing the world he was a tech genius from South Africa. $TSLA,bearish
136,$TSLA Lovely V shape recovery. Will it hold?,bullish
137,* TESLA UPGRADED TO B+ (STABLE) FROM B- | S+P  $TSLA,bullish
138,Exclusive: Chinese doctors say Wuhan coronavirus reinfection even deadlier. Instead of creating immunity the virus can reportedly reinfect an individual and hasten fatal heart attack.  $TSLA $TSLAQ,bearish
139,In other words: Oops.  $TSLA,bearish
140,"As I said yesterday, it is like a convicted felon appealing his conviction and trying to introduce as evidence the DA's plea deal he turned down before taking his chances before a jury! $TSLA",bearish
141,$TSLA closed with what is called a bearish engulfing pattern often occurring at the end of a big bull run,bearish
142,$TSLA is up $100 from the low 4 sessions ago,bullish
143,The Model Y might not happen either though....  #TeslaRefundIssues $TSLA,bearish
144,"Model S crash in Italy, battery fire, firefighters need instructions, and calls to  redirect to an 800# in the US.   #shitshow  $TSLA $TSLAQ",bearish
145,$TSLA - Elon Musk’s SpaceX Starhopper exploded.,bearish
146,"Thought Experiment: Imagine if $TSLA's  treated  with the same respect, deference, and humility that he displays to the Communist China leaders.",bearish
147,"$TSLA sued in Alameda County, California over labor law violations. Docket soon.",bearish
148,"It’s been ~ 3 months. Has $tsla added any significant service locations? Any at all?  Any being readied for the next 3 months?   Musk has “addressed” the dearth of Tesla infrastructure via tweet- but left the customers/victims hanging while fleet increasing, no service secured!",bearish
149,"A year ago today, $tsla stonk closed at $62.98 ($314.90) What a ride! 🚀  Buy and hold !!",bullish
150,Tesla (TSLA) snaps back from random sudden sell off,bullish
151,"Finally, a real Tesla killer Zadar, Croatia  $tsla",bearish
152,SELLING OFF as I suggested would happen!  Makes me a happy wealthy smiling fellow!    $SPY $QQQ $NDX $DIA $IWM $NFLX $FB $INTC $SMH $AAPL $NVDA $TSLA $ES $YM $AMZN $BA $GS $JPM $IBM $LRCX $C $GOOG $AMD $DPZ $WYNN $REGN $BIIB $IYT $MU $VXX $TVIX,bearish
153,"“The new data comes nearly two weeks after Tesla beat Wall Street estimates for annual vehicle deliveries and met the low-end of its own target, sending shares to a record high in a vindication for Chief Executive Officer Elon Musk after a few turbulent years.” LOL. $tslaQ $TSLA",bullish
154,Elon is the GOAT of $TSLAQ. Name another FUDster who could drop $TSLA 10% with a single tweet?   Shorties like    et al have got nothing on papa.,bearish
155,Tesla shorts lost $450 mil today. Few if any have covered when they should have... This is going to get interesting over the next month. #tesla $TSLA,bullish
156,Game changer $TSLA,bullish
157,"Not surprised the S&amp;P did not add $TSLA. After their shady antics to turn in 4 profitable quarters and the fact it would be the 7th biggest company in the S&amp;P, swinging daily 10%, just a pain in the  to deal with and causing un-needed volatility in the index.",bearish
158,Huge phone calls today for an FTC investigation in to $tsla.  What’s that? There’s already an FTC investigation in to Tesla?  Yes there is.  Pressure mounting.,bearish
159,#DumDumWatch day 510  Car drives on dirt road and gets dirty. That’s enough for another #BABYchartsWatson sensory overload. Poor #DumDum 😂   $TSLA 🥴🤡 $TSLAQ 🤡🥴,bearish
160,"These are the 24 stocks which have gained 100% so far in 2020  $BILL $CRWD $DDOG $DOCU $ETSY $FSLY $FVRR $GDOT $GSX $LVGO $PDD $QDEL $SDGR $SE $SHOP $STMP $TDOC $TSLA $TWLO $TWST $W $WIX $ZM $ZS  restrictions: Price&gt;20, $ Vol&gt;20 million  ❓What trends do you see?❓",bullish
161,Reminder: MaxedOutMama saw this coming months ago. $TSLA will end up abandoning its own hopeless Autopilot software and adopt an MIC solution.,bearish
162,"$TSLA of course.   Bitcoin is pure speculation.   Tesla creates real value for customers, for the overall economy, saves the climate and the future of humanity. And I think it will largely outperform Bitcoin. (My opinion only)",bullish
163,But I thought Body Shop repairs would start to be finished in 1 hour per  2.5-3 months later?!?!?  #WhereAreTheParts $TSLA #TeslaServiceIssues,bearish
164,WTF?!  $TSLA doesnt go down after hours.  After hours is for gumdrops and lollipops.,bearish
165,"#TeslaTireIssues #TeslaServiceIssues $tsla $tslaq 1/ 2017 Model X: ""5 repair/alignment attempts later still an unsafe $100,000 car.""  ""I can't wait to drop this piece of sh!t off at the dealership and tell my lawyer to sue for warranty buyout. F-Tesla!""",bearish
166,"This stock is completely divorced from reality.  I dont know what's crazier.  $TSLA over $900 a couple months ago or how its traded recently over $550 with the company and global economy at a standstill.  It is a highly levered, capital intensive maker of low quality vanity EVs",bearish
167,massive sell program hitting $tsla,bearish
168,watching $TSLA for PUT drop below $586 FLUSH,bearish
169,... and now $Tesla sells performance-boosting software upgrades on its installed base. Phenomenal. &amp;TSLA.  Tesla leaks 'Acceleration Boost' upgrade   via,bullish
170,"Dear $TSLA bulls: Keep it up. You won’t shut us up. We have two fundamental truths on our side: Elon is a con, and you’re either too dumb to see it or too corrupt to care. Enjoy the stock price, it won’t be here for long.",bearish
171,#FraudWatch day 417  #BABYcharts doing his best to suck up to Larry the Fossi guy today. What happened to “Q1 will be 150k minimum” #DumDums? 😢   $TSLA 🥴🤡 $TSLAQ 🤡🥴,bearish
172,I finally understand why  is such a douchebag. $TSLA,bearish
173,"On $TSLA ""Battery Day"" we ""learned"" Tesla would mine its lithium using table salt and manufacture its 4680 batteries.  Yet in just the past 2 days we LEARNED Tesla will BUY lithium from China and PANASONIC will manufacture the 4680s.  YES, FRAUD-KAREN IS STILL A PATHOLOGICAL LIAR",bearish
174,"Well, first of all, TSLAQ showed more cult behavior than TSLA so far.  - changing avatars for ""fallen comrades"" whenever someone got suspended for posting stuff against Twitter rules. Acting like ""We are all [enter TSLAQ account here]""",bearish
175,$TSLA is trading 159% above its daily 200 day moving average.,bullish
176,WHAT DID YOU EXPECT?! $TSLA 🚀,bullish
177,Holy sh!t... Was wondering why $TSLA was trending and now I see why... Check out the share price! 📈🚀🤯,bullish
178,The funny thing is that if $TSLA ever does come crashing down the whole world and specifically the financial media is going to act surprised. People like Phil Lebeau who have covered this shit show for years will act like they had no idea how it could have happened.,bearish
179,Tesla: shadier than the shadiest used car lot  1) Trying to sell a car that doesn't yet have a title 2) WON'T LET THE BUYER DRIVE THE CAR! 3) WON'T FIX RECALLED ITEMS PRIOR TO PURCHASE     cc    $tsla $tslaq,bearish
180,I’ll buy more $TSLA after the Q1 dip.,bullish
181,"As a short seller, I can tell you there’s no bigger red flag than ad hominem attacks on reporters and critics.  No legitimate business would ever do that.  Along the same lines, the worst companies have the craziest fans.  $TSLA",bearish
182,It's over for Tesla in Europe. The competition is here and can use the profits on ICE cars to undercut pricing on the Electric Vehicles they have to sell by mandate. Tesla's only hope is the Chinese government buying all their old hardware equipped Chinese made cars. $TSLA,bearish
183,"Just a friendly reminder to every $TSLA long: this stock is very volatile. Buy and hold ☺️  We are seeing a nice rally now, but be prepared for possible dips, where it’s a good idea to buy more and not sell 😉  Don’t use $TSLAQ strategy of buying high and selling low 🤪",bullish
184,One reason I think there is downside risk to $TSLA Q2 production expections is the likelihood of parts shortages.  Good article on the topic today in today’s WSJ.  GM says at least 4 weeks from today to full production.,bearish
185,$TSLA deliveries up 7% QoQ in the US. BMW USA down 14% QoQ. This is why I used to call redefining a category when I was a strategy consultant.,bullish
186,Frustrated Musk Shakes Up Autopilot Team — They left or were fired for telling ⁦ the truth. $TSLA,bearish
187,"$TSLA is currently trading around $815.  says thanks to  investors will soon be asking, ""only $800""?",bearish
188,It’s sad to see so many people damaged by this scam for so long.  Shorts aren’t bad people. We’re trying to help. $TSLA,bearish
189,"And even the lawsuit about the hidden, potentially fatal *suspension defect* confirms, again, the goodwill warranty reserve fraud highlighted by  and  Incredible. $TSLA",bearish
190,"Barnacles at the Tesla factory in Fremont are planning a protest Thursday over alleged mistreatment during the coronavirus pandemic, accusing Tesla of firing barnacles who refuse to work over COVID-19 concerns.  *fixed it  $TSLA $TSLAQ",bearish
191,"Visited a Tesla store yesterday, below are some observations.  - Green staff that sounded like they were repeating talking points they learned last week. - Understaffed, (only two employees on Saturday afternoon) - Less interest from customers  $TSLA $TSLAQ",bearish
192,"Downgrades from Goldman on valuation and Morgan Stanley on recent price cuts will hold $TSLA back today. MS Adam Jonas (never a bull) reduced his PT from $680 to $650. GS Mark Delaney downgraded TSLA after it hit his $925 PT, raised to $950. Neither downgrade matters after today.",bearish
193,"$TSLA -1/Another day, another fire for Tesla.",bearish
194,"The latest version of the $TSLA ""AI"" ""neural net"" that Cathie Wood loves to prattle on about literally cannot tell the difference between a small child and a plastic cone.",bearish
195,"Some 923 days ago, the $TSLA Semi fraud was born. It is still nothing but a prop, meant to con investors into thinking there's a growth pipeline inside this Elonzi. There isn't. Tonight, Jay Leno normalizes the greatest huckster of our generation. Sad. $TSLAQ",bearish
196,"'Investors will go to other indices' after the S&amp;P 500's $TSLA snub, market analyst says 😌",bearish
197,"Market was so high that even a company (run by a securities fraudster, who was himself often a bit high) that has lost money each year since its IPO a decade ago, &amp; will lose money again this year, was still trading at outlandish share prices. $tsla",bearish
198,"Customer of $TSLA says, ""Got a due bill so they can fix later after the end of the quarter.""  They have their clapping seal customers trained to schedule resource-draining activities after the end of fiscal quarters.  Who else does this?  It's insanity.   👇👇👇",bearish
199,This is a bull trap. I put in a few orders to test the bid/ask and every ask I bought they immediately sold off the ask about $10-$15 within just a minute. They are drawing in bids and then selling them immediately. Very dangerous to buy right now. $TSLA,bearish
200,Demand exceeding supply should be another choice. Not enough Model 3 for China. It’s a good problem that will be resolved when China GF is completed. $TSLA,bullish
201,"Seriously, you're better off teaming with the remnants of Yugo or Trabant that #Tesla. Be very careful working w/EM, his track record is questionable at best.  Please call Ford, GM, Chrysler, Kia, Hyundai, BMW, other car OEM's if u need a better partner to work with than $TSLA.",bearish
202,Amazing article about the nightmare experience of taxi drivers forced to buy garbage $TSLA vehicles. Amazing 33 repairs needed in three years! Google translate here:     H/T   $TSLAQ,bearish
